Date,漲跌,漲跌量,昨天漲幅(一天),昨天漲幅(三天),高<收or低>收,成交量幅度,成交量比較(平均),成交量比較(移動平均),RSV,K值,D值,KD交叉(三日),KD交叉(五日),DIF,MACD,MACD交叉,RSI3,RSI5,RSI交叉(三日),RSI交叉(五日),BIAS3,BIAS5,BIAS7,美國增加人數,美國確診增加比例,美國死亡人數,美國死亡增加比例,歐洲增加人數,歐洲確診增加比例,世界增加人數,世界確診增加比例
2020/5/29,0,-1.68,-0.393497436,-0.203814559,0,-0.268219351,0,0,0.845384283,1.275477311,1.322744252,0,0,0.601710538,0.667302945,0,-0.989697615,-1.110581363,0,1,0.157428757,0.389218854,0.449452523,0.069351789,-0.262284697,0.47685453,1.766046687,-0.309027264,-0.421208868,1.378019121,0.862978606
2020/5/28,1,1.41,0.154779468,0.282970598,0,1.299237621,0,0,1.337600678,1.356156021,1.249596066,0,0,0.589656958,0.661858409,0,-1.060699562,-1.287879637,1,1,0.60631672,0.567300107,0.587634437,0.085825053,-0.259757084,-0.390138632,0.317605064,0.026579037,0.123126601,0.765273617,-0.979447288
2020/5/27,0,-2.85,-0.604847965,-0.178356667,1,1.315356316,0,0,0.993442859,1.179908076,1.095618454,0,0,0.553804615,0.658432971,0,-0.770391767,-0.750409697,1,1,0.381632091,0.356468037,0.431209395,0.099247712,-0.345535761,-0.594874367,-0.77182745,-0.306753893,-0.190268865,1.22546154,-0.289315284
2020/5/26,1,0.87,0.062502329,-0.038715003,0,-0.972564272,0,0,1.022358962,1.123384619,0.961330731,0,1,0.523903251,0.664205385,0,-0.771831685,0.135771523,1,1,-0.048783064,0.072424421,0.301296067,0.282109653,-0.312523241,-0.276280494,-0.967037831,-0.191380347,-0.29810805,1.27163304,-0.353743206
2020/5/22,0,-1.91,-0.443095445,-0.304056048,0,-0.641911902,0,0,0.948724483,1.021136032,0.790904418,0,1,0.523927926,0.679806258,0,-0.573699988,0.49530307,-1,-1,0.039424011,0.201973415,0.419597041,0.467150597,-0.030191222,0.46849797,-0.44935887,-0.487060581,-0.531787292,1.353316471,3.454103869
2020/5/21,1,1.11,0.10551743,0.202739401,1,-0.715211499,0,0,1.218279134,0.912233481,0.591352185,1,1,0.503251413,0.699300429,0,0.058568477,0.240443892,-1,-1,0.337124128,0.615505293,0.687173968,0.178214785,-0.362075649,0.520726473,1.385669624,-0.011642002,-0.078329878,-0.031050008,-2.526612483
2020/5/20,0,-2.38,-0.531952939,-0.199634083,0,-0.870668049,0,0,0.683727345,0.58608655,0.35176103,1,1,0.48337992,0.729466537,0,1.824403976,-0.580510606,-1,-1,0.129887139,0.426219751,0.330636049,0.341291378,-0.041713228,-0.290904475,-0.4297307,-0.127583891,-0.329722286,1.612499674,0.697269404
2020/5/19,1,1.95,0.261788438,0.886931217,1,0.152869038,0,0,1.100924978,0.419699934,0.171278292,1,1,0.513889993,0.772746812,0,-0.039919667,-0.553866753,0,1,0.941526882,0.851933716,0.575613715,0.082600128,-0.551449591,-0.273146784,-0.968337638,0.091654264,-0.197843069,1.034218111,-0.574230543
2020/5/18,0,3.91,0.649126874,0.637745828,0,-0.447776051,0,0,0.116419448,-0.081839653,-0.008176424,-1,-1,0.519821042,0.818291098,0,-0.107103856,-0.907042842,0,1,0.303457287,-0.000607282,-0.059447141,0.617414652,-0.257095756,0.300322187,-0.759197086,0.21455835,-0.274047021,1.114314584,0.248471449
2020/5/15,0,6.02,1.065592626,0.391092652,0,-0.133165564,1,0,-0.085258152,-0.239573093,-0.002244955,-1,-1,0.557468623,0.873558188,0,-1.044917721,-1.177772138,1,1,0.082369826,-0.263518716,-0.144297426,0.248988806,-0.324827272,0.706659947,-0.345977115,0.291995028,-0.312154716,0.574329614,-0.470342768
2020/5/14,0,-4.46,-0.936123847,-1.168699168,0,2.833130038,0,1,-1.364377046,-0.354373376,0.093175037,-1,-1,0.627640803,0.932084395,0,-1.336268098,-1.096970904,1,1,-0.81268407,-0.666929766,-0.4385052,0.359333523,0.037039165,0.661743434,0.464494735,0.525725919,-0.18926163,0.683051219,-0.319646722
2020/5/13,1,-7.12,-1.401597625,-1.05506253,0,1.082833035,0,0,-0.297109948,0.245929048,0.299277352,1,1,0.726879581,0.985563497,0,1.673290576,0.324055813,1,1,-0.583819865,-0.197768533,-0.040783597,0.016707074,-0.388479863,0.090363602,0.648593993,0.555705991,-0.078804417,0.712844113,-0.592811178
2020/5/12,1,2.16,0.304080816,0.295002309,0,0.218164561,0,0,0.847520833,0.501824251,0.279142102,1,1,0.791573756,1.024582461,0,-0.493798005,0.593181663,0,0,0.241003719,0.413124762,0.489720882,0.203316901,-0.524781626,-0.35044497,-1.37817647,0.408789431,-0.259515018,0.901482535,1.795971229
2020/5/11,0,1.35,0.153203221,0.319739171,1,0.110120814,0,0,0.835058421,0.19438609,0.108570978,1,1,0.831838517,1.055213728,0,-2.115338251,0.788702012,0,-1,0.650759835,0.59467763,0.509193717,0.722704082,-0.281796132,0.61682692,-0.449236277,0.661701885,-0.305236661,0.398686284,-1.257295047
2020/5/8,0,-0.07,-0.10964208,-0.078648168,1,0.0029567,0,0,-0.153661282,-0.259244677,0.021355818,0,-1,0.813285642,1.08221121,0,0.137080032,0.552881246,0,-1,0.247160537,0.303046339,0.10396975,0.540626582,-0.233228837,1.340713983,-0.215284091,1.465764568,0.338223431,0.738295329,0.517272526
2020/5/7,1,-3.79,-0.805096753,-0.516667383,0,-0.578435384,0,0,-0.781194577,-0.3425698,0.13936681,0,-1,0.843780807,1.121160916,0,0.468548308,0.746352534,-1,-1,-0.06742685,-0.11343652,-0.158327391,0.515611626,-0.176258403,1.122398837,0.897431464,0.596484572,-0.108159642,0.378594794,-0.83512477
2020/5/6,1,-0.45,-0.181083314,0.090534651,1,-0.724866488,0,0,-0.393728114,-0.088569067,0.3620903,-1,-1,0.920687609,1.161296172,0,0.254368551,-0.442824624,-1,-1,0.30510056,-0.097320774,-0.030025008,0.406835791,-0.374738383,0.19064233,-0.454438992,0.492762049,-0.197740719,0.678709541,-0.514844781
