Date,漲跌,漲跌量,Open,High,Low,Close,昨天漲幅(一天),昨天漲幅(三天),高<收or低>收,Volume,成交量幅度,成交量比較(平均),成交量比較(移動平均),RSV,K值,D值,KD交叉(三日),KD交叉(五日),DI,rawEMA12,rawEMA26,EMA12,EMA26,DIF,MACD,RSI3,RSI5,RSI交叉(三日),RSI交叉(五日),BIAS3,BIAS5,BIAS7,美國增加人數,美國確診增加比例,美國死亡人數,美國死亡增加比例,歐洲增加人數,歐洲確診增加比例,世界增加人數,世界確診增加比例
2020/5/29,0,-1.68,302.459991,304.959991,299.470001,304.320007,-0.005514502,-0.00268462,0,119090800,-0.065595854,0,0,0.84823549,0.889069665,0.855322939,0,0,303.754997,293.1197909,289.4954804,294.0912839,289.4933366,4.597947309,4.296780568,28.57142857,32.19373219,0,1,0.003677219,0.012667966,0.017263056,18721,-0.009994712,1526,1.192528736,12518,-0.158736559,104806,0.242631192
2020/5/28,1,1.41,304.649994,306.839996,302.23999,302.970001,0.004667033,0.007605639,0,90405200,0.274946288,0,0,0.998691695,0.909486753,0.838449575,0,0,301.875,292.1585413,288.3524037,293.0868052,288.6758369,4.410968376,4.221488882,26.76923077,29.3768546,1,1,0.013963598,0.018652766,0.02305437,18910,-0.008078053,696,0.392,14880,0.187170895,84342,-0.154135451
2020/5/27,0,-2.85,302.119995,303.570007,296.869995,303.529999,-0.009439294,-0.00214646,1,104817400,0.278448199,0,0,0.893492681,0.864884282,0.802930987,0,0,298.9524918,291.3291663,287.6199038,291.8438181,287.9890026,3.854815545,4.174119009,34.13793103,37.91606368,1,1,0.008814894,0.011567305,0.016498472,19064,-0.073123298,500,-0.210110585,12534,-0.011981712,99711,-0.005515439
2020/5/26,1,0.87,301.929993,302.190002,295.459991,299.079987,0.002953441,0.000805456,0,88951400,-0.218620232,0,0,0.902331491,0.850580082,0.771954339,0,1,294.9325025,290.4220834,287.1119235,290.4969099,287.1059337,3.390976173,4.253944875,34.10138249,51.99552406,1,1,-0.001048176,0.002021414,0.011053701,20568,-0.031456018,633,-0.413888889,12686,-0.133233124,100264,-0.012196804
2020/5/22,0,-1.91,294.570007,295.630005,293.220001,295.440002,-0.00643554,-0.004803647,0,63958200,-0.146783449,0,0,0.879823577,0.824704378,0.732641468,0,1,295.2800063,289.6097913,286.4798082,289.9336461,286.5422871,3.391358941,4.46968705,39.13043478,57.70768547,-1,-1,0.000973111,0.006375184,0.016011789,23285,0.165998998,1518,-0.031887755,11265,-0.229005544,103981,0.800630336
2020/5/21,1,1.11,296.790009,297.670013,293.690002,294.880005,0.003752234,0.005909614,1,78293900,-0.162708353,0,0,0.962218577,0.797144778,0.686610013,1,1,296.824997,288.864374,285.8432696,289.1993047,286.1286863,3.070618366,4.739269078,55.17890772,53.65853659,-1,-1,0.007794983,0.020272804,0.027226151,19970,-0.085664576,1568,0.982300885,14611,0.059151867,57747,-0.487317666
2020/5/20,0,-2.38,295.820007,297.869995,295.570007,296.929993,-0.008085629,-0.002596248,0,85861700,-0.19648249,0,0,0.798821676,0.714607878,0.631342631,1,1,293.0250013,287.6741662,285.2729815,287.9697916,285.2074261,2.762365507,5.156431756,100,40.61538462,-1,-1,0.003046096,0.01391146,0.012283363,21841,0.157261697,791,-0.021039604,13795,-0.100599817,112637,0.206945695
2020/5/19,1,1.95,294.350006,296.209991,291.950012,291.970001,0.006654196,0.020372896,1,95189300,0.025888853,0,0,0.926346832,0.67250098,0.589710007,1,1,294.862503,286.9587497,284.5820201,287.9881949,284.7525475,3.235647367,5.754948318,52.67904509,41.03869654,0,1,0.021645022,0.028218485,0.022550572,18873,-0.229264508,808,-0.318718381,15338,-0.016794872,93324,-0.066871975
2020/5/18,0,3.91,293.049988,296.75,292.700012,295,0.013847094,0.015105311,0,120320200,-0.104605935,0,0,0.625412188,0.545578054,0.548314521,-1,-1,285.0574953,286.6133333,283.9437511,286.9005549,283.5729032,3.327651658,6.384773555,50.97375106,35.42750929,0,1,0.007023499,-0.000432972,-0.004065334,24487,-0.040026658,1186,-0.286401925,15600,-0.105760963,100012,0.151853686
2020/5/15,0,6.02,282.369995,286.329987,281.339996,286.279999,0.021580888,0.009891255,0,111146300,-0.036254375,1,0,0.563765224,0.505660986,0.549682755,-1,-1,282.0099943,287.2691668,283.4541359,286.7436803,282.8320275,3.911652788,7.14905403,27.16981132,31.12621933,1,1,0.001957225,-0.009268671,-0.007621477,20782,-0.057420174,1746,0.02524956,16748,-0.089436199,77965,-0.04449973
2020/5/14,0,-4.46,278.950012,285.109985,272.98999,284.970001,-0.015591107,-0.023081529,0,121977900,0.608196271,0,1,0.172775862,0.476608867,0.571693639,-1,-1,282.3375013,287.6904175,282.8977902,287.104514,282.1043283,5.000185748,7.95840434,19.77464789,32.4099723,1,1,-0.018553157,-0.022826159,-0.019951959,22048,0.216978528,1703,0.473183391,18393,-0.011341647,81596,-0.012047318
2020/5/13,1,-7.12,286.059998,287.190002,278.959991,281.600006,-0.024234983,-0.020679339,0,144721100,0.227930719,0,0,0.499008305,0.62852537,0.619236026,1,1,288.5250013,288.0579166,282.0856744,287.6850697,281.1454608,6.539608919,8.697958988,96.16438356,54.98694517,1,1,-0.013308677,-0.007058996,-0.00328313,18117,-0.105686642,1156,0.57493188,18604,0.058850313,82591,-0.070873317
2020/5/12,1,2.16,293.790009,294.23999,286.519989,286.670013,0.007439568,0.00785998,0,95870800,0.04007481,0,0,0.848888571,0.693283903,0.614591353,1,1,292.2200013,287.5170834,280.5550976,287.4670484,279.9238831,7.543165324,9.237546506,41.15853659,59.26275992,0,0,0.00559236,0.013471375,0.018950735,20258,-0.209042636,734,-0.545229244,17570,-0.055985386,88891,0.443551268
2020/5/11,0,1.35,290.339996,294,289.880005,292.5,0.004637762,0.008382898,1,79030200,0.016601471,0,0,0.845079175,0.615481568,0.575245078,1,1,291.9225003,286.5164578,278.9401936,286.5219791,278.3542141,8.167764984,9.661141801,0,62.36914601,0,-1,0.014982023,0.019572846,0.019766857,25612,-0.049894276,1614,0.068874172,18612,-0.081614527,61578,-0.357525171
2020/5/8,0,-0.07,291.089996,292.950012,289.859985,292.440002,-0.000243291,-3.87E-05,1,76622100,-0.006680761,0,0,0.542856381,0.500682765,0.555126833,0,-1,288.0674975,285.4418748,277.2687512,284.9049999,277.0250329,7.879966944,10.03448601,57.17171717,58.6224754,0,-1,0.005733445,0.009771955,0.002783598,24128,0.012038086,2353,0.097481343,25009,0.323857922,83441,0.168183345
2020/5/7,1,-3.79,287.75,289.779999,287.130005,287.679993,-0.013157926,-0.009298085,0,75250400,-0.132992685,0,0,0.351037744,0.479595958,0.582348867,0,-1,285.1849975,284.2725004,276.1416358,284.2610418,275.9080243,8.353017542,10.57311577,65.58516802,61.69630643,-1,-1,-0.001475403,-0.004224839,-0.008209484,23841,0.055238348,2144,0.712460064,18891,0.040196024,71428,-0.123055579
2020/5/6,1,-0.45,288.040009,288.459991,283.779999,284.25,-0.001569959,0.003537693,1,73632600,-0.164805974,0,0,0.469474948,0.543875064,0.633725322,-1,-1,286.3349988,284.0762507,275.1658664,284.4117368,274.8657167,9.546020072,11.12814033,60.1487779,42.80291047,-1,-1,0.007061155,-0.003683235,-0.002832229,22593,-0.095266699,1252,-0.034695451,18161,-0.016729832,81451,-0.054083244
2020/5/5,1,2.83,286.640015,289.25,283.709991,286.190002,0.010080562,0.00210468,0,79569900,-0.346337161,-1,-1,0.370617842,0.581075122,0.678650451,-1,-1,282.5425033,284.0270844,273.9481742,283.4987516,273.7308025,9.767949028,11.52367039,47.25738397,37.46108613,-1,-1,-0.007154201,-0.012487981,-0.010374897,24972,-0.147364108,1297,-0.015186029,18470,-0.059955212,86108,0.042444493
2020/5/4,0,-2.52,280.73999,283.899994,279.130005,283.570007,-0.008832459,-0.016120198,0,80873200,0.049181586,0,0,0.471129154,0.686303762,0.727438116,-1,-1,284.4400028,283.6900012,273.0258665,283.4184737,272.5529818,10.86549192,11.96260073,34.00809717,37.42802303,0,0,-0.020900637,-0.017585401,-0.010882839,29288,-0.137446621,1317,-0.361299709,19648,-0.058913689,82602,-0.101927656
2020/5/1,1,-1.23,285.309998,290.660004,281.519989,282.790009,-0.004216448,-0.00381804,0,125180000,0.095573609,0,0,0.807524457,0.793891067,0.748005292,0,1,290.7175063,283.2141679,271.6020201,283.8591687,271.2491962,12.6099725,12.23687794,25.44045102,36.79245283,0,0,0.002323411,0.009003538,0.017891332,27326,0.132355379,2611,0.237440758,16989,0.028078669,71493,0.104480148
2020/4/30,1,1.68,291.709991,293.320007,288.589996,290.480011,0.005762673,0.008618892,1,121841200,0.224771803,0,0,0.92694607,0.787074372,0.725062405,1,1,292.9274978,282.4875012,269.6917314,282.9867026,268.9389854,14.04771717,12.1436043,28.27118644,32.86573146,0,0,0.01575074,0.026616886,0.036506754,24132,0.070582494,2110,0.541271001,16525,0.029851676,64730,-0.148580749
2020/4/29,0,-5.29,291.529999,294.880005,290.410004,293.209991,-0.01817737,-0.00982632,0,118745600,0.276135262,0,0,0.707431293,0.717138522,0.694056422,1,1,287.0650025,280.9985435,267.0199044,281.398683,266.5666032,14.83207975,11.66757608,59.65665236,39.14081146,0,0,0.001682773,0.010410743,0.016026984,22541,-0.160702982,1369,-0.188500296,16046,-0.046130068,76026,0.035776567
2020/4/28,1,1.93,291.019989,291.399994,285.399994,285.730011,0.006769055,0.012057928,1,105270000,-0.138671892,0,0,0.924923015,0.721992137,0.682515372,1,1,286.74749,280.2654191,264.9267313,280.344376,264.883807,15.46056896,10.87645016,51.46299484,42.29137199,0,1,0.014191483,0.024271323,0.020249059,26857,-0.446578335,1687,-0.223296501,16822,-0.119405329,73400,-0.135443291
2020/4/27,0,2.24,285.119995,288.269989,284.619995,287.049988,0.007979161,0.009121475,0,77896600,-0.186046919,0,0,0.716623869,0.620526698,0.66277699,0,0,282.0350035,279.0637532,263.1347124,278.5527118,263.0056206,15.54709117,9.730420463,22.72727273,33.00492611,0,1,0.009225476,0.013662616,0.009824007,48529,1.272808168,2172,1.060721063,19103,-0.111074919,84899,-0.092726768
2020/4/24,0,-1.41,280.730011,283.700012,278.5,282.970001,-0.005026928,-0.001847932,0,85166000,0.031026392,0,0,0.482692934,0.572478112,0.683902135,0,0,280.212494,277.8562534,261.48327,276.93021,261.784349,15.14586107,8.276252786,24.15458937,38.77813505,1,1,0.007242317,-0.00289405,-0.001405769,17588,-0.528332752,1721,-0.3181458,19879,-0.012174518,73656,-0.003571429
2020/4/23,1,0.75,280.48999,283.940002,278.75,279.079987,0.002694449,0.002286362,1,104709700,-0.238411151,0,0,0.483952784,0.617370701,0.739614147,0,0,279.027504,276.2737533,260.3100974,274.6287186,260.4309914,14.19772722,6.558850714,34.85477178,31.36265321,1,1,0.00428197,-0.00283679,-0.003732756,37289,0.328665598,2524,0.359181475,20124,0.123116419,73920,-0.105355522
2020/4/22,0,-3.69,278.350006,281,276.910004,279.100006,-0.013334304,-0.021354196,-1,93524600,0.108837025,0,0,0.353288582,0.68407966,0.80073587,0,0,274.035004,273.7489615,258.9432704,272.1436835,259.7273091,12.41637432,4.649131588,70.19498607,72.6342711,1,1,-0.026329231,-0.023552881,-0.023651644,28065,0.140807284,1857,0.047968397,17918,-0.142556348,82625,0.127801589
2020/4/21,1,-1.02,276.730011,278.040009,272.019989,273.040009,-0.003609175,-0.004423351,0,126385700,-0.288030301,0,0,0.745203084,0.849475199,0.859063975,0,0,282.8300018,271.7654194,258.5826936,271.2230577,259.3036479,11.91940978,2.707320906,93.5483871,64.98855835,0,-1,-0.003021289,-0.000660139,0.004274596,24601,-0.252748922,1772,-0.045258621,20897,-0.055972172,73262,-0.097236085
2020/4/20,1,1.26,282.609985,286.790009,281.350006,281.589996,0.004415201,0.012405121,1,100109300,0.129809312,0,0,0.983133832,0.901611256,0.863858363,0,0,285.745003,268.9016689,257.4215396,269.8351061,259.1506278,10.68447835,0.404298687,96.77419355,61.20033812,-1,-1,0.019466524,0.021561731,0.026238018,32922,0.067752084,1856,-0.507692308,22136,0.060051719,81153,-0.052814025
2020/4/17,0,-0.05,285.380005,287.299988,282.399994,286.640015,-0.000179072,0.000350481,0,146684800,0.065012001,0,0,0.853830922,0.860849968,0.844981916,0,0,278.4975053,266.6531268,257.0230778,267.3297933,258.835197,8.494596309,-2.165746228,50.33557047,62.07559257,-1,-1,-0.00398502,0.000709919,0.010358539,30148,0.11982765,4928,1.046511628,20486,-0.034908371,76646,0.094114456
2020/4/16,1,0.19,279.149994,280.029999,275.76001,279.100006,0.000684523,-0.001868617,0,131798300,-0.105195999,0,0,0.822873124,0.864359491,0.837047891,0,0,278.7300033,265.0962509,257.2622123,265.6980566,258.7738936,6.924162949,-4.830831862,53.67762128,37.49013418,-1,-1,-0.004694154,-0.000460606,0.012967415,26922,0.075890181,2408,0.562621674,21227,0.209653522,70053,-0.02363796
2020/4/15,0,2.81,277.570007,283.940002,275.459991,277.76001,0.010000704,0.014445493,0,121775000,-0.01314716,0,0,0.972927195,0.885102674,0.823392091,0,0,281.9975055,263.0916672,257.1774048,264.6152096,259.5139719,5.101237733,-7.769580565,69.32642487,46.39593909,0,1,0.016379158,0.030606994,0.051151962,25023,-0.094026068,1541,0.027333333,17548,-0.091718427,71749,-0.062055532
2020/4/14,0,-1.48,280.980011,284.899994,275.51001,283.790009,-0.005340301,-0.002019348,-1,134143400,-0.373860071,-1,-1,0.851474388,0.841190413,0.7925368,0,1,275.0600055,261.1387504,257.7152892,261.5395146,260.0075613,1.531953283,-10.98728514,26.92152918,43.96344396,1,1,-0.001099183,0.015038159,0.038602734,27620,-0.027156493,1500,-0.180775532,19320,-0.223347805,76496,-0.107168701
2020/4/13,1,0.62,277.140015,277.51001,271.410004,275.660004,0.00223368,0.011387179,1,114839100,0.131465788,0,0,0.919571084,0.836048425,0.768209993,0,1,278.2675093,258.8354165,258.8033658,259.4895493,261.3943701,-1.9048208,-14.11709475,41.888,53.03050665,1,1,0.021092321,0.045542394,0.065090098,28391,-0.200861317,1831,-0.122664111,24876,0.042275946,85678,-0.044380249
2020/4/9,0,6.07,277.579987,281.200012,275.470001,278.200012,0.022652665,0.021644422,1,190282700,-0.195481427,0,0,0.938629264,0.794287096,0.734290777,1,1,272.3274995,255.7339573,260.044519,255.105971,262.0457154,-6.93974439,-17.17016323,54.65161541,60.31792758,1,1,0.022474576,0.050696299,0.060992072,30613,0.001701515,1906,0.420268256,18973,-0.019635199,73639,0.070863508
2020/4/8,0,-9.08,267.959991,276,265.25,274.029999,-0.033113257,-0.010585848,1,153774500,0.14944349,0,0,0.681979042,0.722116012,0.704292617,1,1,267.545006,251.6616653,261.2231727,251.8851037,263.0413494,-11.15624571,-19.72776794,72.65957447,73.97111913,0,0,0.022115736,0.038780433,0.033610714,30561,0.203283723,1342,0.171029668,19353,-0.040220194,68766,-0.109225628
2020/4/7,1,7.02,274.209991,275.029999,264.890015,265.130005,0.027226145,0.039232653,0,201427200,0.246132907,0,0,0.921467339,0.742184497,0.69538092,1,1,261.222492,248.7531233,262.6810569,249.368331,263.7398605,-14.37152943,-21.8706485,75.11312217,72.37018586,0,0,0.038829576,0.043758526,0.039336223,25398,-0.258928571,1146,-0.147321429,20164,-0.141811372,77198,-0.059971019
2020/4/6,0,-2.57,257.839996,267,248.169998,264.859985,-0.010248816,-0.004106233,0,188061200,-0.256045129,0,0,0.48730128,0.652543075,0.671979132,-1,-1,248.730003,246.9974989,263.94125,246.6173257,264.6767596,-18.05943387,-23.74542827,74.10714286,64.67005076,0,0,-0.002144273,-0.019453671,-0.024076075,34272,0.056962221,1344,0.217391304,23496,-0.065430969,82123,0.039597443
2020/4/3,1,6.64,250.759995,253.320007,245.220001,248.190002,0.027081039,0.017421876,0,135561200,-0.058591748,0,0,0.744841645,0.735163973,0.68169716,0,0,250.2324983,246.1947903,265.9525001,246.8314574,267.0216738,-20.19021636,-25.16692687,71.94679565,71.86742118,0,-1,-0.000317561,-0.009167436,-0.008983623,27103,0.084206737,1059,0.165016502,24307,0.034824812,72846,0.00149855
2020/4/2,0,-1.83,245.190002,252.679993,244.589996,251.830002,-0.007379636,-0.021790976,-1,177660400,-0.017493654,0,0,0.618815264,0.730325137,0.654963754,0,0,248.4649965,246.1512493,268.3648078,246.1913881,269.2744727,-23.08308465,-26.41110449,52.04778157,63.6716225,0,-1,-0.035399394,-0.03860427,-0.026585934,24998,0.157582774,909,0.375189107,23489,0.206420134,72737,0.261590495
2020/4/1,1,-2.81,247.979996,257.660004,243.899994,246.149994,-0.010784457,-0.003556649,0,189554600,0.011183246,0,0,0.876192856,0.786080073,0.617283062,0,0,258.762497,245.7366664,270.9392308,248.3171875,272.392931,-24.07574349,-27.24310945,100,100,-1,-1,0.000556414,0.006199204,0.032823679,21595,0.176198257,661,1.078616352,19470,0.000976814,57655,-0.012537037
2020/3/31,1,5.95,260.559998,263.329987,256.220001,257.75,0.023269445,0.028202017,1,194881100,-0.286205982,-1,0,0.974180643,0.741023682,0.532884556,0,1,259.814995,246.2281256,273.4833657,247.9943402,275.1070229,-27.11268269,-28.03495095,100,51.74953959,-1,-1,0.011181648,0.033201427,0.066119099,18360,-0.081035087,318,-0.342975207,19451,-0.114857793,58387,0.615176077
2020/3/30,0,0.15,255.699997,262.429993,253.529999,261.649994,0.00059223,0.00762082,-1,171369500,-0.151705066,0,0,0.789402975,0.624445201,0.428814994,0,1,254.6749993,245.6302093,276.3303852,248.5758684,277.6422372,-29.06636885,-28.26551801,100,43.96967609,-1,-1,-0.001510368,0.03225228,0.04544972,19979,0.068681466,484,0.177615572,21975,-0.047092494,36149,-0.421727028
2020/3/27,0,11.68,253.270004,260.809998,251.050003,253.419998,0.046809906,0.058308766,1,224341200,-0.105992144,0,0,0.964077767,0.541966314,0.33099989,1,1,258.5625038,247.3560422,279.4796163,251.0399316,280.770211,-29.73027936,-28.0653053,50.40227165,29.50575994,0,1,0.043214364,0.085718612,0.086135256,13963,0.588690408,249,0.180094787,17481,0.250429185,49219,0.20895559
2020/3/26,0,1.92,249.520004,262.799988,249.050003,261.200012,0.007840887,0.025324856,0,257632800,0.117195626,0,0,0.536076464,0.330910588,0.225516678,1,1,247.419998,249.5354172,282.5468276,251.2040287,283.1202322,-31.91620357,-27.64906179,47.92753225,32.56309989,0,1,0.038547315,0.043774305,0.031361174,8789,-0.217782129,211,0.773109244,13980,-0.134204496,40712,0.022272442
2020/3/25,0,8.73,244.869995,256.350006,239.75,246.789993,0.037240833,0.039383858,1,299430300,-0.279047169,0,0,0.467681163,0.22832765,0.172819723,1,1,241.0499993,251.9608348,285.976251,253.9571191,286.0754641,-32.11834509,-26.58227634,11.72638436,30.9763493,1,1,0.049719367,0.034319924,0.020376941,11236,0.328289396,119,-0.091603053,16147,0.192100406,39825,-0.023609885
2020/3/24,0,-5.24,234.419998,244.100006,233.800003,243.149994,-0.022963342,-0.041510443,0,235494500,-0.018388603,0,0,0.073649521,0.108650893,0.145065759,0,0,223.4599955,256.538543,289.6775013,256.5733686,288.8141676,-32.24079901,-25.19825916,15.42962735,36.11425339,1,1,-0.03381678,-0.05933034,-0.078844095,8459,0.187561421,131,0.6375,13545,-0.120111732,40788,0.564917127
2020/3/23,1,-13.73,228.190002,229.679993,218.259995,222.949997,-0.056611537,-0.051029281,0,326025200,0.177609334,0,0,0.012892549,0.126151579,0.163273192,0,0,232.6425018,263.1960433,294.0425014,263.5131606,293.2189794,-29.70581883,-23.43762419,100,78.125,1,1,-0.032298979,-0.048221232,-0.06850685,7123,0.325455899,80,-0.272727273,15394,0.053661875,26064,-0.185474546
2020/3/20,1,1.26,242.529999,244.470001,228.5,228.800003,0.005266437,0.00536449,0,347158800,-0.065686398,0,0,0.206446183,0.182781094,0.181833999,0,0,240.154999,269.6872923,298.0650976,269.1275696,297.1728966,-28.04532702,-21.87057553,81.22794637,56.1925879,-1,-1,-0.016064165,-0.032137367,-0.046108973,2988,0.69195923,42,0.826086957,8499,0.182387312,18720,0.557663505
2020/3/19,0,3.75,239.25,247.380005,232.220001,240.509995,0.015873016,0.005230934,-1,289322000,0.181017582,0,0,0.169304647,0.17094855,0.181360451,0,0,239.0974998,274.9220837,301.7343284,273.559132,300.4680497,-26.9089177,-20.32688766,84.02402402,57.422356,0,0,-0.017266101,-0.040061449,-0.07328752,1766,0.990980834,23,0.4375,7188,0.00714586,12018,0.035588109
2020/3/18,0,7.76,236.25,248.369995,228.020004,240,0.031668341,0.02685849,0,327597100,-0.167969378,0,0,0.220308086,0.171770501,0.186566402,0,0,249.7100065,280.4514585,305.3776937,278.4027099,304.2024341,-25.79972422,-18.68138015,57.47232472,49.10874898,0,1,-0.004685233,-0.01591354,-0.041952479,887,0.077764277,16,0.333333333,7137,0.110990037,11605,-0.170004291
2020/3/17,0,-1.33,245.039993,256.170013,237.070007,252.800003,-0.0055145,-0.031674142,-1,262070500,-0.113349954,0,0,0.032875691,0.147501709,0.193964352,0,0,243.4900018,284.1412505,308.5618283,281.3613553,306.9556353,-25.59428008,-16.90179413,46.68415137,49.52993568,0,1,-0.049823045,-0.091518553,-0.112488421,823,0.059202059,12,0.2,6424,0.033794657,13982,0.273058363
2020/3/16,1,6.23,241.179993,256.899994,237.360001,239.850006,0.023680152,0.022199387,1,297240000,-0.055504378,0,0,0.327086049,0.204814718,0.217195674,0,-1,264.6600073,288.935626,312.032886,288.2433348,310.9351082,-22.69177344,-14.72867265,34.69481413,44.23182067,1,1,0.020422117,-0.005788357,-0.035367051,777,0.520547945,10,0.428571429,6214,0.253580795,10983,0.12346563
2020/3/13,0,-7.89,263.089996,271.480011,248.520004,269.320007,-0.030820309,-0.062572428,-1,329566100,0.474388704,0,1,0.006499516,0.143679052,0.223386152,0,-1,252.6399998,292.9600003,314.6371163,290.5983331,312.7627751,-22.16444201,-12.73789745,50.501002,54.99660095,1,1,-0.082082645,-0.10272823,-0.130702224,287,0.05904059,2,0,3654,0.984790875,6941,0.503357158
