Date,Rise,Open,High,Low,Close,Adj Close,CloseHighLowCompare,Volume,VolumeCompare,RSV,Kvalue,Dvalue,Kdcross,DIF,MACD,MACDcross,RSI5,RSIcross,RSI11,BIAS
2000/7/17,1,150.984375,151.984375,150.6875,151,103.701904,0,4208300,0,87.32394366,87.30978025,79.70371147,0,0.325604306,-0.018354221,-1,73.76425856,63.46666667,-1,-0.798481942
2000/7/18,0,150.625,150.625,149.34375,149.765625,102.854141,-1,4262100,0,71.42857143,82.01604398,80.47448897,0,0.596955185,-0.031606128,-1,50.47619048,55.45243619,1,-0.800557648
2000/7/19,0,149.46875,149.90625,148.25,148.5625,102.027901,-1,8506800,1,40.32697548,68.11968781,76.35622192,-1,0.694388787,0.024458109,1,38.68613139,63.39522546,1,-0.802011536
2000/7/20,1,149,150.625,148.8125,150.625,103.444313,1,4538900,0,71.84466019,69.36134527,74.02459637,-1,0.86299887,0.135009999,1,48.08575804,67.83216783,1,-0.799488321
2000/7/21,0,149.75,149.75,147.6875,147.6875,101.426941,-1,5656900,0,11.00323625,49.90864226,65.985945,-1,1.130767546,0.286299129,1,39.13043478,52.75590551,1,-0.802461911
2000/7/24,0,148.125,148.859375,146.5625,146.84375,100.847496,-1,5628500,0,5.187319885,35.0015348,55.65780827,-1,1.065997269,0.448375581,1,55.98923284,46.27782041,-1,-0.802492487
2000/7/25,0,147.75,147.84375,146.78125,147.3125,101.169434,0,4757100,0,13.83285303,27.94530754,46.42030803,-1,1.188373657,0.633746256,1,58.10055866,49.21630094,-1,-0.801206089
2000/7/26,0,146.96875,147.15625,145.640625,145.875,100.182198,-1,12062500,1,3.694581281,19.86173212,37.56744939,0,1.336701204,0.80773065,0,57.14285714,45.54496477,-1,-0.802429424
2000/7/27,0,145.9375,146.625,144.6875,145.375,99.838791,-1,7652600,0,9.421841542,16.3817686,30.50555579,0,1.176959574,0.930971822,0,0,44.27880741,1,-0.801696577
2000/7/28,0,145.71875,145.90625,141.515625,142.09375,97.585365,-1,6229500,0,6.346483705,13.03667363,24.68259507,0,1.057302796,1.012271654,0,0,37.73584906,1,-0.804682131
2000/7/31,1,142.9375,144.125,142.0625,143,98.207741,0,5265500,0,16.29502573,14.122791,21.16266038,0,0.718747231,1.025804104,0,4.188481675,38.4,1,-0.802392365
